"BODC reference","Oceanographic data type",Instrument,Platform,"Latitude A","Latitude B","Longitude A","Longitude B","Positional definition","Start date","Start time","End date","End time","Series duration (days)","Sea floor depth (m)","Series depth minimum (m)","Series depth maximum (m)",Project,Country,Organisation,"Quality control (QC)","Series availability",Warnings,Licence
653326,"CTD or STD cast","CTD/STD cast","research vessel",56.10133,-99,-6.0805,-999,"Fixed point",2004/10/16,10:05:00,2004/10/16,10:05:00,-99,27,22.79,1.98,-99,"United Kingdom","Department of Agriculture and Fisheries for Scotland Aberdeen Marine Laboratory",null,Public,Y,"BODC Data Licence Agreement"
727996,"CTD or STD cast","CTD/STD cast","research vessel",55.96617,-99,-6.63633,-999,"Fixed point",2006/12/02,10:28:00,2006/12/02,10:28:00,-99,52,48.55,0.99,-99,"United Kingdom","Department of Agriculture and Fisheries for Scotland Aberdeen Marine Laboratory",null,Public,N,"BODC Data Licence Agreement"
621293,"CTD or STD cast","CTD/STD cast","research vessel",56.3695,-99,-6.8327,-999,"Fixed point",2002/11/28,11:42:00,2002/11/28,11:42:00,-99,75,69.35,4.95,-99,"United Kingdom","Department of Agriculture and Fisheries for Scotland Aberdeen Marine Laboratory",null,Public,N,"BODC Data Licence Agreement"
657075,"CTD or STD cast","CTD/STD cast","research vessel",55.22433,-99,-5.1885,-999,"Fixed point",2004/11/22,13:39:00,2004/11/22,13:39:00,-99,48,46.57,1.98,-99,"United Kingdom","Department of Agriculture and Fisheries for Scotland Aberdeen Marine Laboratory",null,Public,Y,"BODC Data Licence Agreement"
575542,"CTD or STD cast","CTD/STD cast","research vessel",55.8957,-99,-6.723,-999,"Fixed point",2001/11/09,06:35:00,2001/11/09,06:35:00,-99,66,62.42,2.97,-99,"United Kingdom","Department of Agriculture and Fisheries for Scotland Aberdeen Marine Laboratory",null,Public,N,"BODC Data Licence Agreement"
657063,"CTD or STD cast","CTD/STD cast","research vessel",55.35833,-99,-6.73167,-999,"Fixed point",2004/11/22,08:03:00,2004/11/22,08:03:00,-99,79,76.29,3.96,-99,"United Kingdom","Department of Agriculture and Fisheries for Scotland Aberdeen Marine Laboratory",null,Public,Y,"BODC Data Licence Agreement"
1026891,"CTD or STD cast","CTD/STD cast","research vessel",55.39233,-99,-6.75683,-999,"Fixed point",2009/03/24,00:00:00,-99//,-99,-99,81,79.26,1.98,-99,"United Kingdom","Fisheries Research Services Aberdeen Marine Laboratory",null,Public,N,"BODC Data Licence Agreement"
575554,"CTD or STD cast","CTD/STD cast","research vessel",56.372,-99,-6.8298,-999,"Fixed point",2001/11/09,10:08:00,2001/11/09,10:08:00,-99,76,74.3,2.97,-99,"United Kingdom","Department of Agriculture and Fisheries for Scotland Aberdeen Marine Laboratory",null,Public,N,"BODC Data Licence Agreement"
575425,"CTD or STD cast","CTD/STD cast","research vessel",54.3458,-99,-4.9315,-999,"Fixed point",2001/11/04,10:11:00,2001/11/04,10:11:00,-99,93,89.17,1.98,-99,"United Kingdom","Department of Agriculture and Fisheries for Scotland Aberdeen Marine Laboratory",null,Public,N,"BODC Data Licence Agreement"
1032430,"CTD or STD cast","CTD/STD cast","research vessel",55.94983,-99,-5.07983,-999,"Fixed point",2009/11/03,16:19:00,2009/11/03,16:19:00,-99,67,61.43,0.99,-99,"United Kingdom","Fisheries Research Services Aberdeen Marine Laboratory",null,Public,N,"BODC Data Licence Agreement"
657155,"CTD or STD cast","CTD/STD cast","research vessel",53.7565,-99,-4.60167,-999,"Fixed point",2004/11/24,01:48:00,2004/11/24,01:48:00,-99,64,60.45,0.99,-99,"United Kingdom","Department of Agriculture and Fisheries for Scotland Aberdeen Marine Laboratory",null,Public,Y,"BODC Data Licence Agreement"
631982,"CTD or STD cast","CTD/STD cast","research vessel",56.3743,-99,-6.818,-999,"Fixed point",2003/11/28,20:01:00,2003/11/28,20:01:00,-99,78,75.29,3.96,-99,"United Kingdom","Department of Agriculture and Fisheries for Scotland Aberdeen Marine Laboratory",null,Public,N,"BODC Data Licence Agreement"
1032374,"CTD or STD cast","CTD/STD cast","research vessel",55.83133,-99,-5.1735,-999,"Fixed point",2009/11/03,10:18:00,2009/11/03,10:18:00,-99,68,61.43,0.99,-99,"United Kingdom","Fisheries Research Services Aberdeen Marine Laboratory",null,Public,N,"BODC Data Licence Agreement"
1032442,"CTD or STD cast","CTD/STD cast","research vessel",55.97217,-99,-5.1125,-999,"Fixed point",2009/11/03,16:43:00,2009/11/03,16:43:00,-99,50,42.6,0.99,-99,"United Kingdom","Fisheries Research Services Aberdeen Marine Laboratory",null,Public,N,"BODC Data Licence Agreement"
1026971,"CTD or STD cast","CTD/STD cast","research vessel",55.92267,-99,-6.71267,-999,"Fixed point",2009/03/25,00:00:00,-99//,-99,-99,68,66.38,0.99,-99,"United Kingdom","Fisheries Research Services Aberdeen Marine Laboratory",null,Public,N,"BODC Data Licence Agreement"
845691,"CTD or STD cast","CTD/STD cast","lowered unmanned submersible",56.08968,-99,-6.44348,-999,"Fixed point",2003/08/05,02:30:00,2003/08/05,02:34:00,0,40,40,4,"Northern Seas Programme (NSP)","United Kingdom","Dunstaffnage Marine Laboratory",null,Public,N,"BODC Data Licence Agreement"
1032386,"CTD or STD cast","CTD/STD cast","research vessel",55.93133,-99,-5.18517,-999,"Fixed point",2009/11/03,11:17:00,2009/11/03,11:17:00,-99,59,52.51,0.99,-99,"United Kingdom","Fisheries Research Services Aberdeen Marine Laboratory",null,Public,N,"BODC Data Licence Agreement"
1026866,"CTD or STD cast","CTD/STD cast","research vessel",55.46317,-99,-4.8115,-999,"Fixed point",2009/03/23,00:00:00,-99//,-99,-99,63,61.43,1.98,-99,"United Kingdom","Fisheries Research Services Aberdeen Marine Laboratory",null,Public,N,"BODC Data Licence Agreement"
572243,"CTD or STD cast","CTD/STD cast","research vessel",56.3693,-99,-6.824,-999,"Fixed point",2001/03/10,15:56:00,2001/03/10,15:56:00,-99,77,72.32,1.98,-99,"United Kingdom","Department of Agriculture and Fisheries for Scotland Aberdeen Marine Laboratory",null,Public,N,"BODC Data Licence Agreement"
575401,"CTD or STD cast","CTD/STD cast","research vessel",55.4233,-99,-6.7213,-999,"Fixed point",2001/11/03,20:02:00,2001/11/03,20:02:00,-99,66,60.44,0.99,-99,"United Kingdom","Department of Agriculture and Fisheries for Scotland Aberdeen Marine Laboratory",null,Public,N,"BODC Data Licence Agreement"
621103,"CTD or STD cast","CTD/STD cast","research vessel",53.7377,-99,-4.6378,-999,"Fixed point",2002/11/25,06:48:00,2002/11/25,06:48:00,-99,64,63.42,4.96,-99,"United Kingdom","Department of Agriculture and Fisheries for Scotland Aberdeen Marine Laboratory",null,Public,N,"BODC Data Licence Agreement"
1032454,"CTD or STD cast","CTD/STD cast","research vessel",55.9715,-99,-4.76883,-999,"Fixed point",2009/11/03,19:00:00,2009/11/03,19:00:00,-99,72,67.37,0.99,-99,"United Kingdom","Fisheries Research Services Aberdeen Marine Laboratory",null,Public,N,"BODC Data Licence Agreement"
657179,"CTD or STD cast","CTD/STD cast","research vessel",53.81367,-99,-4.86117,-999,"Fixed point",2004/11/24,14:11:00,2004/11/24,14:11:00,-99,58,57.48,3.96,-99,"United Kingdom","Department of Agriculture and Fisheries for Scotland Aberdeen Marine Laboratory",null,Public,Y,
